Date,Open,High,Low,Close,Adj Close,Volume
2016-07-08,28.590900,29.109100,28.472700,29.036400,27.280140,13156440
2016-07-11,29.163601,29.527300,28.963600,29.318199,27.544897,10232750
2016-07-12,29.590900,29.772699,28.936399,29.072701,27.314241,16494500
2016-07-13,29.027300,29.690901,28.936399,29.672701,27.877958,12388640
2016-07-14,30.227301,30.572701,30.018200,30.518200,28.672316,21826200
2016-07-15,30.454500,30.618200,30.100000,30.418200,28.578365,12953600
2016-07-18,30.536400,31.063601,30.327299,30.936399,29.065220,10838080
2016-07-19,30.727301,31.090900,30.654600,30.754601,28.894417,9761840
2016-07-20,30.890900,31.363600,30.645500,31.236401,29.347073,14556190
2016-07-21,31.236401,31.418200,30.245399,30.818199,28.954172,17215330
2016-07-22,30.736401,31.254601,30.600000,31.009100,29.133518,8354060
2016-07-25,31.000000,31.245399,30.554600,30.772699,28.911417,5877080
2016-07-26,30.818199,31.054600,30.381800,30.381800,28.544167,8212160
2016-07-27,30.545500,30.990900,30.409100,30.500000,28.655212,11347820
2016-07-28,30.481800,30.481800,29.872700,30.163601,28.339163,15123460
2016-07-29,29.918200,30.872700,29.918200,30.718201,28.860218,13059200
2016-08-01,30.681801,31.000000,30.281799,30.390900,28.566662,10184900
2016-08-02,30.409100,31.200001,30.318199,30.754601,28.908533,22541970
2016-08-03,30.563601,32.036400,30.545500,32.036400,30.113388,24418680
2016-08-04,32.272701,32.781799,32.172699,32.218201,30.284275,18711330
2016-08-05,32.545399,32.572701,31.636400,32.027302,30.104836,13076910
2016-08-08,31.736401,32.200001,31.709101,31.818199,29.908283,10097450
2016-08-09,32.045399,32.290901,31.872700,31.881800,29.968069,8850050
2016-08-10,32.000000,32.227299,31.281799,31.618200,29.720295,11468050
2016-08-11,31.909100,32.454601,31.627300,32.427299,30.480822,13150720
2016-08-12,32.454601,32.872700,32.318199,32.672699,30.711494,11877250
2016-08-15,32.536400,33.099998,32.409100,33.018200,31.419954,10127590
2016-08-16,32.818199,33.200001,32.745399,32.881802,31.290163,15508130
2016-08-17,32.818199,33.318199,32.554600,33.318199,31.705437,16072320
2016-08-18,33.109100,33.436401,32.845501,33.254601,31.644918,11360030
2016-08-19,33.000000,33.227299,32.663601,33.036400,31.437273,9913090
2016-08-22,32.881802,32.972698,32.318199,32.400002,30.831684,7463830
2016-08-23,32.609100,32.927299,32.209099,32.345501,30.779821,8716730
2016-08-24,32.045399,32.518200,31.809099,32.190899,30.632698,13232010
2016-08-25,32.163601,32.490898,31.927299,32.090900,30.537544,9618290
2016-08-26,32.299999,32.900002,32.118198,32.481800,30.909525,10807170
2016-08-29,32.363602,33.272701,32.299999,33.054600,31.454592,7148350
2016-08-30,33.090900,33.345501,32.872700,33.272701,31.662142,4815910
2016-08-31,33.363602,33.536400,32.272701,32.590900,31.013346,18633560
2016-09-01,32.500000,33.200001,32.345501,32.900002,31.321898,14317490
2016-09-02,33.054600,33.627300,33.054600,33.381802,31.780582,13341350
2016-09-05,33.390900,33.636398,33.190899,33.390900,31.789248,3520550
2016-09-06,33.545399,33.709099,33.027302,33.709099,32.092186,7985450
2016-09-08,33.709099,33.709099,33.227299,33.309101,31.711369,13351140
2016-09-09,32.836399,32.927299,31.900000,32.045399,30.508287,14940420
2016-09-12,31.981800,32.572701,31.645500,32.463600,30.906429,12622060
2016-09-13,32.127300,32.318199,31.490900,31.818199,30.291986,18909220
2016-09-14,31.836399,32.209099,31.736401,31.845400,30.317883,11205260
2016-09-15,32.000000,32.700001,31.881800,32.536400,30.975739,12506230
2016-09-16,32.372700,32.445400,31.600000,31.799999,30.274656,16077600
2016-09-19,32.172699,32.427299,31.863600,32.027302,30.491055,7992050
2016-09-20,32.236401,32.518200,32.018200,32.099998,30.560259,5621550
2016-09-21,32.454601,32.581799,31.581800,32.409100,30.854544,16355240
2016-09-22,32.718201,33.245399,32.581799,32.927299,31.347893,9955000
2016-09-23,32.909100,33.009102,32.518200,32.845501,31.270014,6582400
2016-09-26,32.463600,32.663601,32.336399,32.590900,31.027618,8725860
2016-09-27,32.700001,33.000000,32.227299,32.963600,31.382444,13929850
2016-09-28,33.000000,33.372700,32.727299,33.200001,31.607512,12055890
2016-09-29,33.272701,33.472698,32.336399,32.354500,30.802559,14233120
2016-09-30,32.500000,32.727299,32.118198,32.290901,30.742010,17095210
2016-10-03,32.272701,33.136398,32.272701,33.045399,31.474939,15732970
2016-10-04,33.145500,33.490898,32.954601,33.336399,31.752113,29389360
2016-10-05,33.454601,34.136398,33.381802,33.990898,32.375507,14246430
2016-10-06,33.936401,34.418201,33.881802,34.272701,32.643917,11058520
2016-10-07,34.545399,34.709099,34.099998,34.590900,32.947002,12544950
2016-10-10,34.918201,35.072701,34.545399,34.636398,32.990330,8685160
2016-10-11,34.527302,34.700001,34.272701,34.518200,32.877747,16688760
2016-10-13,34.518200,35.136398,34.099998,34.909100,33.250069,20090070
2016-10-14,35.236401,35.736401,35.127300,35.572701,33.882137,14007400
2016-10-17,35.645500,36.354500,35.400002,36.354500,34.626781,16749480
2016-10-18,36.299999,37.000000,35.910000,36.860001,35.108261,14500200
2016-10-19,36.650002,36.889999,36.150002,36.259998,34.536770,9216200
2016-10-20,35.930000,36.750000,35.709999,36.369999,34.641537,10270100
2016-10-21,36.220001,36.570000,36.029999,36.310001,34.584400,6545800
2016-10-24,36.580002,36.590000,35.910000,36.000000,34.289127,9389600
2016-10-25,35.869999,36.119999,35.330002,35.810001,34.108158,8398100
2016-10-26,35.580002,36.230000,35.450001,36.029999,34.317696,10065800
2016-10-27,36.090000,37.160000,36.049999,36.799999,35.051105,11197000
2016-10-28,36.700001,37.330002,36.470001,37.110001,35.346382,9686700
2016-10-31,38.160000,38.840000,37.980000,38.400002,36.575073,20939500
2016-11-01,38.730000,38.730000,37.029999,37.250000,35.493587,17729600
2016-11-03,37.250000,37.849998,36.450001,36.450001,34.731312,16343000
2016-11-04,36.540001,37.430000,36.259998,36.750000,35.017162,13763700
2016-11-07,37.520000,38.299999,37.259998,38.070000,36.274921,11313500
2016-11-08,38.070000,38.740002,37.639999,38.160000,36.360680,9559800
2016-11-09,36.599998,37.939999,36.500000,36.939999,35.198204,19455100
2016-11-10,36.880001,37.290001,34.570000,35.099998,33.444962,29415800
2016-11-11,34.650002,35.660000,34.240002,34.650002,33.016182,26539000
2016-11-14,34.360001,35.240002,33.910000,34.439999,32.816086,17452700
2016-11-16,34.439999,36.139999,34.439999,36.139999,34.435921,19153100
2016-11-17,36.450001,36.450001,34.869999,35.060001,33.406853,15608800
2016-11-18,34.919998,35.880001,34.919998,35.389999,33.721283,9208500
2016-11-21,35.650002,35.860001,35.380001,35.680000,33.997612,12292600
2016-11-22,36.200001,36.330002,35.320000,35.799999,34.111961,12858600
2016-11-23,35.590000,35.900002,35.130001,35.470001,33.797523,7042500
